City_ID,Country,City,Date,Lat,Long,Cloudiness,Humidity,Wind_Speed,Temp_Max
3466704,BR,Castro,1604377000,-24.79,-50.01,72,87,11.12,52.45
3840092,AR,Puerto Madryn,1604377078,-42.77,-65.04,100,31,18.99,74.43
2206371,NZ,Levin,1604377244,-40.63,175.28,100,93,1.99,59
3874579,CL,Purranque,1604377244,-40.92,-73.17,1,93,2.24,50
3874960,CL,Port Montt,1604377244,-41.47,-72.94,40,93,1.74,44.6
3874787,CL,Punta Arenas,1604377244,-53.15,-70.92,0,75,4.7,48
2188164,NZ,Lower Hutt,1604377244,-41.22,174.92,100,93,10.29,57.99
2183406,NZ,Riwaka,1604377244,-41.08,173,100,88,3.24,55.99
2206369,NZ,Foxton,1604377244,-40.47,175.3,100,85,1.99,68
3833883,AR,Trelew,1604377244,-43.25,-65.31,100,18,26.87,81.91
2192828,NZ,Bulls,1604377244,-40.17,175.38,100,83,1.99,68
3839307,AR,Rawson,1604377244,-43.3,-65.1,100,26,16.98,77
2181133,NZ,Pareora,1604377244,-44.49,171.21,100,82,5.01,60.01
3833367,AR,Ushuaia,1604377244,-54.8,-68.3,20,81,4.7,46.4
2651520,GB,Darfield,1604377245,53.53,-1.38,0,78,4,43
2186895,NZ,Methven,1604377114,-43.63,171.65,100,74,1.99,57.99
3838859,AR,Río Gallegos,1604377245,-51.62,-69.22,40,66,6.93,53.6
2168943,AU,Devonport,1604377245,-41.17,146.35,68,76,7,70
2184707,NZ,Wanaka,1604377245,-44.7,169.15,80,46,0.51,63.86
965301,ZA,Edendale,1604377245,-29.65,30.31,1,95,3.38,62.01
2188444,NZ,Leeston,1604377245,-43.77,172.3,100,81,7,55
4794814,US,Wyndham,1604376994,37.7,-77.61,1,52,5.82,43
2192362,NZ,Christchurch,1604377176,-43.53,172.63,100,76,19.46,55.4
5780557,US,Riverton,1604377053,40.52,-111.94,1,52,4.7,50
2206895,NZ,Greymouth,1604377107,-42.47,171.2,100,94,5.28,53.13
2189947,NZ,Himatangi,1604377246,-40.4,175.32,100,85,1.99,68
2182867,NZ,Sefton,1604377246,-43.25,172.67,100,76,19.46,55.4
2206894,NZ,Hokitika,1604377246,-42.72,170.97,100,94,3.22,55.35
2184904,NZ,Te Horo,1604377246,-40.81,175.12,100,93,1.99,59
2186280,NZ,Nelson,1604377246,-41.28,173.28,100,88,3.94,55.99
2183774,NZ,Ranfurly,1604377246,-45.13,170.1,98,69,1.99,59
5150651,US,Clyde,1604377246,41.3,-82.98,83,47,1.99,41
7281807,AU,Seddon,1604377246,-37.81,144.89,66,33,18.34,87.01
3832899,AR,Viedma,1604377225,-40.81,-63,100,47,5.01,70
2184397,NZ,Porirua,1604377247,-41.13,174.85,100,89,4,57.99
4463810,US,Dobson,1604377247,36.4,-80.72,1,86,4.74,37
6331908,US,Milton,1604377247,34.13,-84.3,1,48,3.36,41
2183824,NZ,Rakaia,1604377247,-43.75,172.02,100,86,4,57.99
2179537,NZ,Wellington,1604377208,-41.29,174.78,100,93,10.29,55.99
2189529,NZ,Invercargill,1604377247,-46.4,168.35,0,65,11.01,60.01
4845585,US,Westport,1604377168,41.14,-73.36,1,52,14.99,41
4951594,US,Southbridge,1604377247,42.08,-72.03,28,47,1.99,34
2192964,NZ,Brightwater,1604377247,-41.38,173.12,100,88,1.83,55.99
2186377,NZ,Murchison,1604377247,-41.8,172.33,100,86,2.95,52.21
2208248,NZ,Balclutha,1604377247,-46.23,169.75,0,70,7,62.01
2183310,NZ,Rolleston,1604377247,-43.58,172.38,100,76,19.46,55.4
2185296,NZ,Otautau,1604377247,-46.15,168,0,65,11.01,60.01
2178982,NZ,Woodend,1604377247,-43.32,172.67,100,76,19.46,55.4
3899695,CL,Ancud,1604377187,-41.87,-73.82,75,93,2.24,51.01
2185018,NZ,Palmerston North,1604377247,-40.35,175.62,100,85,1.99,68
2163355,AU,Hobart,1604377057,-42.88,147.33,0,29,12.75,89.01
2193747,NZ,Athenree,1604377247,-37.47,175.92,97,86,7,66
2166368,AU,Forbes,1604377247,-33.38,148.02,96,27,1.99,84.99
2185245,NZ,Otorohanga,1604377248,-38.18,175.2,100,62,11.99,71.01
3361934,ZA,Saldanha,1604377248,-33.01,17.94,78,77,8.05,60.8
3443758,UY,Artigas,1604377248,-30.4,-56.47,0,86,11.41,55.22
5335650,US,Ceres,1604377248,37.59,-120.96,1,62,4.34,64
3441702,UY,Melo,1604377248,-32.37,-54.18,10,94,5.06,50.81
2147714,AU,Sydney,1604377228,-33.87,151.21,20,56,12.75,72
3871336,CL,Santiago,1604377228,-33.46,-70.65,0,71,6.93,63
3435261,AR,Concordia,1604377249,-31.39,-58.02,0,67,3,61
2170577,AU,Cooma,1604377249,-36.23,149.13,1,37,5.82,71.6
932183,LS,Quthing,1604377249,-30.4,27.7,0,49,2.35,59.88
